"sample","compounds","TRset","ncarbon_umole_cm2","tCO_umole_cm2","naCO_umole_cm2","cCOH_umole_cm2","COOH_umole_cm2","aCH_umole_cm2","aCOH_umole_cm2","Ester_umole_cm2","Ketone_umole_cm2","AmmNH_umole_cm2"
"01012","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.561703284282727
"01020","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.11311582137215
"01021","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.2038744945324
"01022","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,1.37181377163977
"01027","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.68768253964614
"01033","1-Docosanol","calibration",0.479458380865072,0,0,0,0,0.980710324496736,0.0217935627665941,0,0,0
"01034","1-Docosanol","test",1.4588892822743,0,0,0,0,2.98409171374289,0.0663131491942862,0,0,0
"01050","1-Docosanol","calibration",6.99166407068582,0,0,0,0,14.3011310536755,0.3178029123039,0,0,0
"01092","Suberic Acid","calibration",0.113408271901567,0.0283520679753927,0,0.0283520679753927,0.0283520679753916,0.17011240785235,0,0,0,0
"01093","Suberic Acid","calibration",0.168919777841919,0.0422299444604801,0,0.0422299444604801,0.0422299444604798,0.253379666762879,0,0,0,0
"01094","Suberic Acid","test",0.231153380204868,0.0577883450512176,0,0.0577883450512176,0.057788345051217,0.3467300703073,0,0,0,0
"01095","Suberic Acid","calibration",0.455367822167145,0.113841955541787,0,0.113841955541787,0.113841955541786,0.683051733250719,0,0,0,0
"01096","Suberic Acid","calibration",0.395519479824965,0.0988798699562411,0,0.0988798699562411,0.0988798699562414,0.593279219737449,0,0,0,0
"01097","Suberic Acid","test",0.403325785347996,0.100831446336999,0,0.100831446336999,0.100831446336999,0.604988678021994,0,0,0,0
"01098","Suberic Acid","calibration",0.497868818902664,0.124467204725665,0,0.124467204725665,0.124467204725666,0.746803228353997,0,0,0,0
"01099","Suberic Acid","calibration",0.668306489485099,0.167076622371276,0,0.167076622371276,0.167076622371275,1.00245973422765,0,0,0,0
"01101","Suberic Acid","test",0.71818010810338,0.179545027025844,0,0.179545027025844,0.179545027025845,1.07727016215507,0,0,0,0
"01102","Suberic Acid","calibration",0.804049468854952,0.201012367213737,0,0.201012367213737,0.201012367213738,1.20607420328243,0,0,0,0
"01103","Suberic Acid","calibration",0.986630281361963,0.246657570340492,0,0.246657570340492,0.246657570340491,1.47994542204294,0,0,0,0
"01104","Suberic Acid","test",0.866066229397535,0.216516557349385,0,0.216516557349385,0.216516557349384,1.2990993440963,0,0,0,0
"01105","Suberic Acid","calibration",0.957139793831094,0.239284948457775,0,0.239284948457775,0.239284948457774,1.43570969074664,0,0,0,0
"01106","Suberic Acid","calibration",1.03476916541946,0.258692291354864,0,0.258692291354864,0.258692291354865,1.55215374812919,0,0,0,0
"01107","Suberic Acid","test",1.2169162942863,0.304229073571574,0,0.304229073571574,0.304229073571574,1.82537444142945,0,0,0,0
"01108","Suberic Acid","calibration",1.14709322822087,0.286773307055216,0,0.286773307055216,0.286773307055219,1.72063984233131,0,0,0,0
"01110","Suberic Acid","calibration",1.22819206893035,0.307048017232585,0,0.307048017232585,0.307048017232588,1.84228810339552,0,0,0,0
"01113","Suberic Acid","test",0.168269252381751,0.0420673130954368,0,0.0420673130954368,0.0420673130954376,0.252403878572626,0,0,0,0
"01114","Suberic Acid","calibration",0.344778493926429,0.0861946234816084,0,0.0861946234816084,0.086194623481607,0.517167740889642,0,0,0,0
"01115","Suberic Acid","calibration",0.481822524216525,0.12045563105413,0,0.12045563105413,0.120455631054131,0.722733786324788,0,0,0,0
"01116","Suberic Acid","test",0.786268439608303,0.196567109902076,0,0.196567109902076,0.196567109902075,1.17940265941245,0,0,0,0
"01117","Suberic Acid","calibration",0.757211635717697,0.189302908929423,0,0.189302908929423,0.189302908929424,1.13581745357655,0,0,0,0
"01118","Suberic Acid","calibration",0.877775687681941,0.219443921920485,0,0.219443921920485,0.219443921920485,1.31666353152291,0,0,0,0
"01119","Suberic Acid","test",1.02002392165412,0.255005980413529,0,0.255005980413529,0.255005980413529,1.53003588248118,0,0,0,0
"01120","Suberic Acid","calibration",1.31492879696226,0.328732199240567,0,0.328732199240567,0.328732199240567,1.9723931954434,0,0,0,0
"01129","D-Glucose","calibration",0.0849148633857814,0,0,0,0,0.0990673406167449,0.0707623861548178,0,0,0
"01130","D-Glucose","test",0.245309605336702,0,0,0,0,0.286194539559484,0.204424671113918,0,0,0
"01131","D-Glucose","calibration",0.35852942318441,0,0,0,0,0.418284327048478,0.298774519320343,0,0,0
"01132","D-Glucose","calibration",0.735928816010105,0,0,0,0,0.858583618678456,0.613274013341754,0,0,0
"01133","D-Glucose","test",0.603839028521112,0,0,0,0,0.704478866607965,0.503199190434259,0,0,0
"01134","D-Glucose","calibration",0.735928816010105,0,0,0,0,0.858583618678456,0.613274013341754,0,0,0
"01135","D-Glucose","calibration",0.849148633857814,0,0,0,0,0.990673406167449,0.707623861548178,0,0,0
"01136","D-Glucose","test",1.20767805704222,0,0,0,0,1.40895773321593,1.00639838086852,0,0,0
"01168","Malonic Acid","calibration",0.0816713504283654,0.0544475669522437,0,0.0544475669522437,0.0544475669522437,0.0544475669522437,0,0,0,0
"01170","Malonic Acid","test",0.0571699452998559,0.0381132968665706,0,0.0381132968665706,0.0381132968665706,0.0381132968665706,0,0,0,0
"01171","Malonic Acid","test",0.0816713504283654,0.0544475669522437,0,0.0544475669522437,0.0544475669522437,0.0544475669522437,0,0,0,0
"01172","Malonic Acid","calibration",0.114339890599712,0.0762265937331412,0,0.0762265937331412,0.0762265937331412,0.0762265937331412,0,0,0,0
"01173","Malonic Acid","calibration",0.106172755556875,0.0707818370379169,0,0.0707818370379169,0.0707818370379169,0.0707818370379169,0,0,0,0
